Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,item_retrieved,,,,Item_retreived_values
TXN_6669417,Salad,5,5,25,,Takeaway,1/3/2023,Salad,,,,Cake
TXN_3963927,Smoothie,4,4,16,Credit Card,In-store,1/3/2023,Smoothie,,,,Cookie
TXN_9728454,Cake,4,3,12,Digital Wallet,Takeaway,1/3/2023,Cake,,,,Salad
TXN_2493262,Cookie,2,1,2,Credit Card,Takeaway,1/3/2023,Cookie,,,,Cake
TXN_7686476,Coffee,3,2,6,Digital Wallet,Takeaway,1/3/2023,Coffee,,,,Cake
TXN_6697669,Cake,5,3,15,Cash,,1/3/2023,Cake,,,,Cake
TXN_2030107,Cake,4,3,12,,Takeaway,1/3/2023,Cake,,,,Cake
TXN_2377708,Cookie,1,1,1,,Takeaway,1/3/2023,Cookie,,,,Cake
TXN_1607471,Smoothie,2,4,8,Credit Card,Takeaway,1/3/2023,Smoothie,,,,Salad
TXN_7313328,Cake,1,3,3,,Takeaway,1/3/2023,Cake,,,,Salad
TXN_7355326,Cookie,1,1,1,,,1/3/2023,Cookie,,,,Smoothie
TXN_6460409,Salad,3,5,15,Cash,ERROR,1/3/2023,Salad,,,,Smoothie
TXN_9699174,Smoothie,3,4,12,,,1/3/2023,Smoothie,,,,Cookie
TXN_9014681,Smoothie,3,4,12,UNKNOWN,In-store,1/3/2023,Smoothie,,,,Cake
TXN_2716377,Cake,4,3,12,Cash,,1/3/2023,Cake,,,,Cake
TXN_3749801,Cake,5,3,15,Credit Card,Takeaway,1/3/2023,Cake,,,,Smoothie
TXN_6044312,Cake,2,3,6,ERROR,In-store,1/3/2023,Cake,,,,Cake
TXN_3297457,Cake,2,3,6,,UNKNOWN,1/3/2023,Cake,,,,Salad
TXN_4031509,Smoothie,4,4,16,Credit Card,Takeaway,1/4/2023,Smoothie,,,,Cake
TXN_9113574,Coffee,4,2,8,,In-store,1/4/2023,Coffee,,,,Smoothie
TXN_4712887,Tea,5,1.5,7.5,Credit Card,ERROR,1/4/2023,Tea,,,,Salad
TXN_3857768,Coffee,2,2,4,Credit Card,,1/4/2023,Coffee,,,,Smoothie
TXN_2861396,Salad,5,5,25,Credit Card,UNKNOWN,1/4/2023,Salad,,,,Smoothie
TXN_4033982,Tea,2,1.5,3,Credit Card,Takeaway,1/4/2023,Tea,,,,Cake
TXN_1411473,Coffee,3,2,6,Credit Card,In-store,1/4/2023,Coffee,,,,Cookie
TXN_7630912,Cake,2,3,6,Credit Card,,1/4/2023,Cake,,,,Salad
TXN_1082012,Smoothie,5,4,20,Credit Card,,1/4/2023,Smoothie,,,,Cake
TXN_5788053,Smoothie,5,4,20,Digital Wallet,,1/4/2023,Smoothie,,,,Tea
TXN_9415451,Cake,3,3,9,,Takeaway,1/4/2023,Cake,,,,Cake
TXN_7894558,Coffee,2,2,4,,,1/4/2023,Coffee,,,,Cookie
TXN_8867957,Smoothie,1,4,4,Digital Wallet,,1/4/2023,Smoothie,,,,Salad
TXN_9983530,Smoothie,3,4,12,,,1/4/2023,Smoothie,,,,Smoothie
TXN_8309656,Smoothie,3,4,12,,Takeaway,1/4/2023,Smoothie,,,,Coffee
TXN_5136479,Smoothie,1,4,4,,In-store,1/4/2023,Smoothie,,,,Smoothie
TXN_4147675,Tea,2,1.5,3,Credit Card,In-store,1/4/2023,Tea,,,,Salad
TXN_3896128,Cake,1,3,3,,In-store,1/4/2023,Cake,,,,Tea
TXN_9908225,Smoothie,5,4,20,Credit Card,In-store,1/4/2023,Smoothie,,,,Cake
TXN_8510450,Cake,4,3,12,UNKNOWN,,1/4/2023,Cake,,,,Coffee
TXN_3317406,Smoothie,3,4,12,UNKNOWN,Takeaway,1/4/2023,Smoothie,,,,Smoothie
TXN_4719069,Cake,2,3,6,Digital Wallet,,1/4/2023,Cake,,,,Cookie
TXN_1268811,Salad,1,5,5,,,1/4/2023,Salad,,,,Cake
TXN_7041367,Cookie,4,1,4,,ERROR,1/4/2023,Cookie,,,,Cake
TXN_7708201,Salad,3,5,15,Cash,,1/4/2023,Salad,,,,Tea
TXN_9825905,Coffee,1,2,2,Digital Wallet,ERROR,1/4/2023,Coffee,,,,Cake
TXN_1232346,Salad,5,5,25,Digital Wallet,In-store,1/4/2023,Salad,,,,Cookie
TXN_6380550,Coffee,5,2,10,Cash,In-store,1/5/2023,Coffee,,,,Salad
TXN_4980036,Cake,2,3,6,Cash,Takeaway,1/5/2023,Cake,,,,Cookie
TXN_8852585,Smoothie,4,4,16,Credit Card,Takeaway,1/5/2023,Smoothie,,,,Tea
TXN_9587884,Tea,2,1.5,3,,,1/5/2023,Tea,,,,Cake
TXN_1575608,Smoothie,5,4,20,ERROR,Takeaway,1/5/2023,Smoothie,,,,Cake
TXN_9151321,Smoothie,4,4,16,Cash,In-store,1/5/2023,Smoothie,,,,Coffee
TXN_1840566,Coffee,4,2,8,,ERROR,1/5/2023,Coffee,,,,Cake
TXN_1622123,Cookie,2,1,2,Cash,Takeaway,1/5/2023,Cookie,,,,Salad
TXN_5524352,Smoothie,1,4,4,,,1/5/2023,Smoothie,,,,Salad
TXN_1701500,Smoothie,1,4,4,ERROR,Takeaway,1/5/2023,Smoothie,,,,Coffee
TXN_3910230,Smoothie,5,4,20,Cash,Takeaway,1/5/2023,Smoothie,,,,Cake
TXN_8608811,Cake,5,3,15,Credit Card,Takeaway,1/5/2023,Cake,,,,Coffee
TXN_1324968,Cookie,3,1,3,Credit Card,In-store,1/5/2023,Cookie,,,,Salad
TXN_5137315,Salad,5,5,25,Credit Card,In-store,1/5/2023,Salad,,,,Salad
TXN_7766134,Tea,1,1.5,1.5,Credit Card,Takeaway,1/5/2023,Tea,,,,Cake
TXN_7180164,Smoothie,5,4,20,Cash,Takeaway,1/5/2023,Smoothie,,,,Cake
TXN_2044375,Salad,1,5,5,Cash,Takeaway,1/5/2023,Salad,,,,Cake
TXN_9814511,Cake,1,3,3,Credit Card,,1/5/2023,Cake,,,,Salad
TXN_8742689,Tea,5,1.5,7.5,Digital Wallet,Takeaway,1/5/2023,Tea,,,,Cookie
TXN_3603434,Coffee,5,2,10,,In-store,1/5/2023,Coffee,,,,Cookie
TXN_6455325,Cake,4,3,12,Credit Card,In-store,1/5/2023,Cake,,,,Cookie
TXN_5862289,Cake,4,3,12,Digital Wallet,Takeaway,1/5/2023,Cake,,,,Tea
TXN_9496018,Tea,5,1.5,7.5,,Takeaway,1/5/2023,Tea,,,,Smoothie
TXN_1767872,Salad,2,5,10,Credit Card,In-store,1/5/2023,Salad,,,,Smoothie
TXN_1927704,Salad,2,5,10,Digital Wallet,In-store,1/5/2023,Salad,,,,Smoothie
TXN_2372348,Cake,2,3,6,Digital Wallet,Takeaway,1/5/2023,Cake,,,,Cake
TXN_1727281,Cake,4,3,12,,Takeaway,1/5/2023,Cake,,,,Coffee
TXN_5662517,Tea,2,1.5,3,Credit Card,Takeaway,1/5/2023,Tea,,,,Salad
TXN_2340643,Salad,5,5,25,Cash,In-store,1/5/2023,Salad,,,,Cake
TXN_4982382,Salad,1,5,5,Cash,,1/5/2023,Salad,,,,Cake
TXN_4283693,Salad,2,5,10,Cash,In-store,1/5/2023,Salad,,,,Cake
TXN_6515226,Cake,1,3,3,Digital Wallet,,1/5/2023,Cake,,,,Salad
TXN_1665056,Salad,5,5,25,Cash,,1/5/2023,Salad,,,,Cake
TXN_9417438,Salad,1,5,5,ERROR,In-store,1/5/2023,Salad,,,,Coffee
TXN_5164540,Tea,2,1.5,3,,Takeaway,1/5/2023,Tea,,,,Cake
TXN_5587224,Salad,2,5,10,ERROR,In-store,1/5/2023,Salad,,,,Coffee
TXN_9809696,Smoothie,1,4,4,,Takeaway,1/5/2023,Smoothie,,,,Cake
TXN_3313534,Cookie,2,1,2,Digital Wallet,In-store,1/5/2023,Cookie,,,,Tea
TXN_2029497,Smoothie,2,4,8,Cash,Takeaway,1/6/2023,Smoothie,,,,Cake
TXN_3228823,Tea,5,1.5,7.5,,,1/6/2023,Tea,,,,Smoothie
TXN_1180969,Cookie,1,1,1,Digital Wallet,In-store,1/6/2023,Cookie,,,,Cake
TXN_9663990,Cake,1,3,3,,,1/6/2023,Cake,,,,Smoothie
TXN_8632098,Salad,2,5,10,,,1/6/2023,Salad,,,,Tea
TXN_7770253,Coffee,5,2,10,Digital Wallet,Takeaway,1/6/2023,Coffee,,,,Tea
TXN_3277379,Salad,2,5,10,Credit Card,Takeaway,1/6/2023,Salad,,,,Cake
TXN_2204457,Coffee,4,2,8,Cash,Takeaway,1/6/2023,Coffee,,,,Cake
TXN_6670607,Cake,5,3,15,,Takeaway,1/6/2023,Cake,,,,Cake
TXN_5438111,Smoothie,3,4,12,Cash,In-store,1/6/2023,Smoothie,,,,Tea
TXN_1852224,Tea,4,1.5,6,Cash,Takeaway,1/6/2023,Tea,,,,Coffee
TXN_4664329,Tea,2,1.5,3,Credit Card,Takeaway,1/6/2023,Tea,,,,Salad
TXN_1960599,Cake,4,3,12,Cash,,1/6/2023,Cake,,,,Smoothie
TXN_6410244,Tea,4,1.5,6,Credit Card,Takeaway,1/6/2023,Tea,,,,Tea
TXN_3112013,Smoothie,5,4,20,Cash,In-store,1/6/2023,Smoothie,,,,Cake
TXN_6000890,Coffee,3,2,6,Digital Wallet,In-store,1/6/2023,Coffee,,,,Cake
TXN_1779679,Coffee,5,2,10,,In-store,1/6/2023,Coffee,,,,Coffee
TXN_1671480,Cookie,5,1,5,,,1/6/2023,Cookie,,,,Cake
TXN_3666951,Cake,2,3,6,,In-store,1/6/2023,Cake,,,,Salad
TXN_2531878,Salad,3,5,15,,,1/6/2023,Salad,,,,Tea
TXN_2301001,Smoothie,1,4,4,,Takeaway,1/6/2023,Smoothie,,,,Cake
TXN_3121483,Salad,2,5,10,,Takeaway,1/6/2023,Salad,,,,Salad
TXN_8305586,Coffee,4,2,8,Cash,,1/6/2023,Coffee,,,,Cake
TXN_8276063,Coffee,1,2,2,Credit Card,,1/6/2023,Coffee,,,,Cake
TXN_6571385,Tea,4,1.5,6,Cash,Takeaway,1/6/2023,Tea,,,,Salad
TXN_6467414,Tea,3,1.5,4.5,Cash,,1/6/2023,Tea,,,,Smoothie
TXN_1419790,Smoothie,3,4,12,,,1/6/2023,Smoothie,,,,Coffee
TXN_1185003,Cake,5,3,15,Cash,Takeaway,1/6/2023,Cake,,,,Cake
TXN_1091243,Smoothie,2,4,8,,In-store,1/6/2023,Smoothie,,,,Coffee
TXN_8083377,Tea,4,1.5,6,Digital Wallet,In-store,1/6/2023,Tea,,,,Smoothie
TXN_3392953,Coffee,1,2,2,Digital Wallet,Takeaway,1/6/2023,Coffee,,,,Coffee
TXN_2696664,Cookie,5,1,5,,In-store,1/7/2023,Cookie,,,,Salad
TXN_1090854,Cookie,3,1,3,Credit Card,In-store,1/7/2023,Cookie,,,,Coffee
TXN_6643951,Smoothie,1,4,4,Credit Card,In-store,1/7/2023,Smoothie,,,,Cake
TXN_5622313,Salad,2,5,10,Credit Card,In-store,1/7/2023,Salad,,,,Smoothie
TXN_6872268,Cake,2,3,6,Digital Wallet,In-store,1/7/2023,Cake,,,,Cake
TXN_6040824,Smoothie,1,4,4,Cash,,1/7/2023,Smoothie,,,,Cookie
TXN_8066306,Cake,5,3,15,Digital Wallet,Takeaway,1/7/2023,Cake,,,,Tea
TXN_5279972,Smoothie,4,4,16,Credit Card,Takeaway,1/7/2023,Smoothie,,,,Cake
TXN_8285752,Cookie,4,1,4,,In-store,1/7/2023,Cookie,,,,Smoothie
TXN_1072232,Smoothie,1,4,4,Digital Wallet,In-store,1/7/2023,Smoothie,,,,Smoothie
TXN_4177717,Cookie,1,1,1,,,1/7/2023,Cookie,,,,Cake
TXN_1034067,Smoothie,3,4,12,Digital Wallet,,1/7/2023,Smoothie,,,,Smoothie
TXN_2631423,Cookie,3,1,3,Cash,Takeaway,1/7/2023,Cookie,,,,Cookie
TXN_1598214,Cake,1,3,3,Credit Card,Takeaway,1/7/2023,Cake,,,,Smoothie
TXN_8934637,Smoothie,1,4,4,,In-store,1/7/2023,Smoothie,,,,Tea
TXN_3046567,Salad,2,5,10,Credit Card,In-store,1/7/2023,Salad,,,,Coffee
TXN_8164119,Tea,3,1.5,4.5,Credit Card,Takeaway,1/7/2023,Tea,,,,Cookie
TXN_1010950,Cookie,1,1,1,Digital Wallet,Takeaway,1/7/2023,Cookie,,,,Cake
TXN_4064326,Cookie,2,1,2,Cash,Takeaway,1/7/2023,Cookie,,,,Cookie
TXN_9901097,Coffee,1,2,2,Cash,,1/7/2023,Coffee,,,,Cookie
TXN_8661276,Cookie,1,1,1,Digital Wallet,In-store,1/7/2023,Cookie,,,,Salad
TXN_6121301,Smoothie,5,4,20,Digital Wallet,Takeaway,1/7/2023,Smoothie,,,,Smoothie
TXN_1193551,Cookie,1,1,1,,Takeaway,1/7/2023,Cookie,,,,Smoothie
TXN_5476485,Cake,2,3,6,Cash,In-store,1/7/2023,Cake,,,,Smoothie
TXN_6342161,Salad,5,5,25,ERROR,Takeaway,1/8/2023,Salad,,,,Smoothie
TXN_6857943,Cake,5,3,15,,Takeaway,1/8/2023,Cake,,,,Cake
TXN_3803732,Salad,4,5,20,Digital Wallet,,1/8/2023,Salad,,,,Salad
TXN_9425610,Smoothie,3,4,12,Cash,In-store,1/8/2023,Smoothie,,,,Smoothie
TXN_6975750,Cake,5,3,15,,ERROR,1/8/2023,Cake,,,,Cake
TXN_7516790,Cake,2,3,6,ERROR,,1/8/2023,Cake,,,,Smoothie
TXN_2680626,Cake,3,3,9,Cash,In-store,1/8/2023,Cake,,,,Smoothie
TXN_3313000,Coffee,5,2,10,Credit Card,In-store,1/8/2023,Coffee,,,,Coffee
TXN_9203396,Coffee,5,2,10,Digital Wallet,In-store,1/8/2023,Coffee,,,,Cookie
TXN_8384229,Tea,4,1.5,6,Digital Wallet,,1/8/2023,Tea,,,,Cake
TXN_5991995,Cake,1,3,3,Digital Wallet,In-store,1/8/2023,Cake,,,,Smoothie
TXN_8482647,Smoothie,5,4,20,Credit Card,,1/8/2023,Smoothie,,,,Cake
TXN_3494191,Smoothie,2,4,8,Credit Card,In-store,1/8/2023,Smoothie,,,,Smoothie
TXN_4615235,Cake,4,3,12,Cash,,1/8/2023,Cake,,,,Cookie
TXN_6144244,Cake,3,3,9,Cash,,1/8/2023,Cake,,,,Cookie
TXN_6857799,Cookie,4,1,4,Cash,ERROR,1/8/2023,Cookie,,,,Tea
TXN_4702345,Salad,4,5,20,Digital Wallet,,1/8/2023,Salad,,,,Cake
TXN_4328228,Smoothie,5,4,20,UNKNOWN,,1/8/2023,Smoothie,,,,Cake
TXN_1887555,Cake,2,3,6,Cash,In-store,1/8/2023,Cake,,,,Cake
TXN_4583009,Salad,5,5,25,Credit Card,In-store,1/8/2023,Salad,,,,Coffee
TXN_2832660,Smoothie,2,4,8,Credit Card,,1/8/2023,Smoothie,,,,Cake
TXN_3003979,Tea,1,1.5,1.5,Digital Wallet,Takeaway,1/8/2023,Tea,,,,Smoothie
TXN_7932830,Cake,2,3,6,,Takeaway,1/8/2023,Cake,,,,Cake
TXN_3703482,Cake,4,3,12,,UNKNOWN,1/8/2023,Cake,,,,Coffee
TXN_8150967,Smoothie,3,4,12,Cash,,1/8/2023,Smoothie,,,,Cookie
TXN_7851634,Smoothie,4,4,16,,,1/8/2023,Smoothie,,,,Smoothie
TXN_4639319,Coffee,5,2,10,Cash,,1/9/2023,Coffee,,,,Tea
TXN_5531712,Tea,2,1.5,3,Cash,UNKNOWN,1/9/2023,Tea,,,,Smoothie
TXN_9239779,Salad,1,5,5,Cash,UNKNOWN,1/9/2023,Salad,,,,Smoothie
TXN_1075183,Tea,2,1.5,3,Credit Card,,1/9/2023,Tea,,,,Smoothie
TXN_6277500,Coffee,4,2,8,Credit Card,Takeaway,1/9/2023,Coffee,,,,Salad
TXN_4551806,Tea,1,1.5,1.5,ERROR,,1/9/2023,Tea,,,,Salad
TXN_2123573,Coffee,5,2,10,Digital Wallet,Takeaway,1/9/2023,Coffee,,,,Cake
TXN_3355537,Tea,3,1.5,4.5,Digital Wallet,ERROR,1/9/2023,Tea,,,,Salad
TXN_4848431,Salad,5,5,25,Credit Card,,1/9/2023,Salad,,,,Salad
TXN_4612269,Salad,5,5,25,,ERROR,1/9/2023,Salad,,,,Smoothie
TXN_3744974,Cake,1,3,3,,In-store,1/9/2023,Cake,,,,Salad
TXN_9844453,Tea,2,1.5,3,,,1/9/2023,Tea,,,,Cake
TXN_8425819,Smoothie,1,4,4,,,1/9/2023,Smoothie,,,,Salad
TXN_4829492,Cake,2,3,6,Credit Card,Takeaway,1/9/2023,Cake,,,,Coffee
TXN_3700419,Cookie,4,1,4,ERROR,,1/9/2023,Cookie,,,,Cake
TXN_9072517,Smoothie,2,4,8,Credit Card,Takeaway,1/9/2023,Smoothie,,,,Cookie
TXN_3487896,Coffee,5,2,10,Credit Card,,1/9/2023,Coffee,,,,Salad
TXN_4449992,Cookie,3,1,3,Digital Wallet,UNKNOWN,1/9/2023,Cookie,,,,Cookie
TXN_9627891,Coffee,2,2,4,Credit Card,In-store,1/9/2023,Coffee,,,,Salad
TXN_7994903,Smoothie,4,4,16,Credit Card,In-store,1/9/2023,Smoothie,,,,Cookie
TXN_3827851,Coffee,1,2,2,,,1/9/2023,Coffee,,,,Smoothie
TXN_5005999,Salad,4,5,20,Cash,,1/9/2023,Salad,,,,Cake
TXN_1993675,Cookie,3,1,3,Cash,Takeaway,1/9/2023,Cookie,,,,Cake
TXN_7764304,Cake,1,3,3,Credit Card,Takeaway,1/9/2023,Cake,,,,Salad
TXN_2504703,Smoothie,5,4,20,Digital Wallet,Takeaway,1/9/2023,Smoothie,,,,Cake
TXN_6650263,Tea,2,1.5,3,,Takeaway,1/10/2023,Tea,,,,Tea
TXN_2148617,Cake,3,3,9,Digital Wallet,UNKNOWN,1/10/2023,Cake,,,,Cake
TXN_5754317,Coffee,2,2,4,Credit Card,Takeaway,1/10/2023,Coffee,,,,Smoothie
TXN_2494138,Cookie,3,1,3,Cash,,1/10/2023,Cookie,,,,Smoothie
TXN_4679593,Cake,1,3,3,Cash,In-store,1/10/2023,Cake,,,,Coffee
TXN_9489176,Cake,5,3,15,Digital Wallet,In-store,1/10/2023,Cake,,,,Smoothie
TXN_4520062,Tea,2,1.5,3,,In-store,1/10/2023,Tea,,,,Salad
TXN_5398922,Salad,1,5,5,Cash,In-store,1/10/2023,Salad,,,,Cake
TXN_8554646,Coffee,2,2,4,Cash,,1/10/2023,Coffee,,,,Tea
TXN_3106348,Salad,4,5,20,Digital Wallet,In-store,1/10/2023,Salad,,,,Tea
TXN_7507071,Smoothie,2,4,8,,In-store,1/10/2023,Smoothie,,,,Coffee
TXN_9976598,Cake,4,3,12,,Takeaway,1/10/2023,Cake,,,,Smoothie
TXN_6380636,Coffee,5,2,10,,ERROR,1/10/2023,Coffee,,,,Cake
TXN_3043982,Smoothie,5,4,20,Cash,In-store,1/10/2023,Smoothie,,,,Tea
TXN_8059034,Coffee,1,2,2,Digital Wallet,,1/10/2023,Coffee,,,,Tea
TXN_8708666,Cake,4,3,12,,Takeaway,1/10/2023,Cake,,,,Cake
TXN_5660949,Cookie,3,1,3,Credit Card,In-store,1/10/2023,Cookie,,,,Cake
TXN_7763212,Smoothie,1,4,4,Credit Card,,1/10/2023,Smoothie,,,,Cake
TXN_7755372,Cake,5,3,15,,Takeaway,1/10/2023,Cake,,,,Salad
TXN_9710430,Smoothie,3,4,12,Credit Card,Takeaway,1/10/2023,Smoothie,,,,Cookie
TXN_4532280,Coffee,5,2,10,Credit Card,,1/10/2023,Coffee,,,,Tea
TXN_7855761,Cookie,1,1,1,Cash,In-store,1/10/2023,Cookie,,,,Salad
TXN_3132921,Tea,5,1.5,7.5,Credit Card,In-store,1/10/2023,Tea,,,,Cookie
TXN_9493077,Cake,4,3,12,Credit Card,,1/10/2023,Cake,,,,Smoothie
TXN_9320353,Salad,5,5,25,Cash,In-store,1/10/2023,Salad,,,,Smoothie
TXN_3270584,Cake,3,3,9,Credit Card,Takeaway,1/10/2023,Cake,,,,Cake
TXN_2470745,Smoothie,2,4,8,Digital Wallet,,1/10/2023,Smoothie,,,,Cookie
TXN_2588566,Salad,3,5,15,,Takeaway,1/10/2023,Salad,,,,Smoothie
TXN_9089898,Salad,3,5,15,Credit Card,,1/11/2023,Salad,,,,Salad
TXN_2773987,Smoothie,5,4,20,ERROR,,1/11/2023,Smoothie,,,,Tea
TXN_5448157,Cookie,3,1,3,Credit Card,ERROR,1/11/2023,Cookie,,,,Smoothie
TXN_1324930,Smoothie,5,4,20,Credit Card,Takeaway,1/11/2023,Smoothie,,,,Smoothie
TXN_6337312,Salad,1,5,5,,In-store,1/11/2023,Salad,,,,Smoothie
TXN_9703722,Smoothie,5,4,20,Digital Wallet,Takeaway,1/11/2023,Smoothie,,,,Smoothie
TXN_3869958,Cake,1,3,3,Digital Wallet,ERROR,1/11/2023,Cake,,,,Cake
TXN_3189677,Smoothie,1,4,4,,,1/11/2023,Smoothie,,,,Cake
TXN_7218914,Salad,1,5,5,Digital Wallet,In-store,1/11/2023,Salad,,,,Cake
TXN_7828462,Tea,3,1.5,4.5,Cash,Takeaway,1/11/2023,Tea,,,,Smoothie
TXN_5940531,Tea,1,1.5,1.5,,In-store,1/11/2023,Tea,,,,Smoothie
TXN_2818867,Salad,3,5,15,Cash,,1/11/2023,Salad,,,,Salad
TXN_5222176,Cookie,4,1,4,,In-store,1/11/2023,Cookie,,,,Cookie
TXN_6496506,Cake,1,3,3,Digital Wallet,In-store,1/11/2023,Cake,,,,Smoothie
TXN_7991782,Cake,2,3,6,,In-store,1/11/2023,Cake,,,,Smoothie
TXN_1072984,Tea,4,1.5,6,Digital Wallet,,1/11/2023,Tea,,,,Cookie
TXN_2873573,Coffee,3,2,6,,In-store,1/11/2023,Coffee,,,,Smoothie
TXN_4430772,Coffee,5,2,10,Credit Card,,1/11/2023,Coffee,,,,Cake
TXN_6021363,Smoothie,2,4,8,Credit Card,Takeaway,1/11/2023,Smoothie,,,,Tea
TXN_7995960,Cake,1,3,3,Digital Wallet,,1/11/2023,Cake,,,,Coffee
TXN_9728414,Tea,1,1.5,1.5,Credit Card,Takeaway,1/11/2023,Tea,,,,Smoothie
TXN_8732269,Cake,2,3,6,Credit Card,Takeaway,1/11/2023,Cake,,,,Cookie
TXN_9520855,Cake,4,3,12,,,1/11/2023,Cake,,,,Cookie
TXN_4530804,Coffee,4,2,8,,,1/12/2023,Coffee,,,,Smoothie
TXN_4266787,Cake,4,3,12,Credit Card,Takeaway,1/12/2023,Cake,,,,Cake
TXN_4634772,Cake,3,3,9,Credit Card,In-store,1/12/2023,Cake,,,,Coffee
TXN_9159212,Smoothie,3,4,12,Digital Wallet,Takeaway,1/12/2023,Smoothie,,,,Smoothie
TXN_6189334,Smoothie,1,4,4,Cash,In-store,1/12/2023,Smoothie,,,,Tea
TXN_8551432,Tea,4,1.5,6,,Takeaway,1/12/2023,Tea,,,,Tea
TXN_4371760,Smoothie,2,4,8,Cash,In-store,1/12/2023,Smoothie,,,,Smoothie
TXN_4877933,Cake,5,3,15,Digital Wallet,In-store,1/12/2023,Cake,,,,Tea
TXN_7585599,Cake,1,3,3,Credit Card,,1/12/2023,Cake,,,,Coffee
TXN_6751134,Smoothie,3,4,12,,UNKNOWN,1/12/2023,Smoothie,,,,Cake
